"today","region","sex","age","married","christ","children","education","gaccra","pay_bribe","surveyChoice","rand_number","rand_number6","rand_number2_2","rand_number2_3","rand_number2_4","rand_number2_5","rand_number2_6","gender","corrupt","financial_pressure","john","ethnic_1","ethnic_2","ethnic_3","ethnic_4","ethnic_5","ethnic_6","ethnic_7","ethnic_8","ethnic_9","ethnic_10","ethnic_11","ethnic_12","ethnic_13","ethnic_14","ethnic_15","ethnic_16","ethnic_17","ethnic_18","ethnic_19","ethnic_20","ethnic_21"
"19-Sep-17",3,1,46,0,1,1,5,0,NA,4,NA,0.048246845,NA,NA,0.296964517,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19-Sep-17",3,0,28,1,1,2,1,0,NA,2,NA,0.029870019,0.755483246,NA,NA,NA,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19-Sep-17",3,1,57,0,1,4,5,0,NA,2,NA,0.753610797,0.19672728,NA,NA,NA,NA,2,6,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19-Sep-17",3,0,30,1,1,9,2,0,NA,2,NA,0.093824261,0.674478931,NA,NA,NA,NA,1,7,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19-Sep-17",3,1,66,1,1,8,5,0,1,5,NA,0.648852398,NA,NA,NA,0.978625137,NA,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19-Sep-17",3,0,28,0,1,0,6,0,NA,6,NA,0.168678744,NA,NA,NA,NA,0.634670593,1,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19-Sep-17",3,1,20,0,1,0,5,0,NA,2,NA,0.248160072,0.721050491,NA,NA,NA,NA,1,7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"19-Sep-17",2,1,76,1,1,2,4,0,1,2,NA,0.307208025,0.848314999,NA,NA,NA,NA,6,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19-Sep-17",2,0,36,0,1,4,4,0,1,6,NA,0.891190868,NA,NA,NA,NA,0.554919789,1,7,300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19-Sep-17",2,0,28,1,1,2,6,0,1,6,NA,0.977653058,NA,NA,NA,NA,0.500776217,1,7,200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19-Sep-17",2,1,30,1,1,3,4,0,1,2,NA,0.799551841,0.124946624,NA,NA,NA,NA,7,1,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19-Sep-17",2,0,45,1,1,3,5,0,1,3,NA,0.181268642,NA,0.107241551,NA,NA,NA,1,7,200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19-Sep-17",2,1,27,0,1,3,5,0,1,6,NA,0.681480852,NA,NA,NA,NA,0.93875855,1,7,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"19-Sep-17",2,0,64,0,1,5,1,0,1,4,NA,0.001047872,NA,NA,0.242301741,NA,NA,1,7,200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
